"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.803549935E1,6.012140769E1,2.445289777E1,1.987076164E1,1.250000000E0,1.144000015E2,3.790092468E0,2.500000000E0
5.903579472E1,6.012140416E1,2.445292036E1,2.013855789E1,1.370000005E0,1.141999969E2,3.790092468E0,2.500000000E0
6.003489826E1,6.012140062E1,2.445294427E1,2.006321633E1,1.389999986E0,1.114000015E2,3.790092468E0,2.500000000E0
6.103507289E1,6.012139768E1,2.445296861E1,1.991432736E1,1.419999957E0,1.098000031E2,3.790092468E0,2.500000000E0
6.203521852E1,6.012139495E1,2.445299323E1,1.959106111E1,1.389999986E0,1.055000000E2,3.790092468E0,2.500000000E0
6.303563873E1,6.012139354E1,2.445301689E1,1.924606359E1,1.299999952E0,1.040999985E2,3.790092468E0,2.500000000E0
6.403536607E1,6.012139173E1,2.445304057E1,1.932349085E1,1.360000014E0,1.024000015E2,3.790092468E0,2.500000000E0
6.503551388E1,6.012138918E1,2.445306583E1,1.966666816E1,1.460000038E0,1.044000015E2,3.790092468E0,2.500000000E0
6.603579279E1,6.012138624E1,2.445309103E1,1.981392295E1,1.389999986E0,1.050000000E2,3.790092468E0,2.500000000E0
6.703518175E1,6.012138254E1,2.445311593E1,2.008733781E1,1.409999967E0,1.065999985E2,3.790092468E0,2.500000000E0
6.803508560E1,6.012137856E1,2.445314118E1,2.014944975E1,1.379999995E0,1.075000000E2,3.790092468E0,2.500000000E0
6.903498279E1,6.012137471E1,2.445316443E1,2.005665156E1,1.259999990E0,1.088000031E2,3.790092468E0,2.500000000E0
7.003506070E1,6.012137104E1,2.445318724E1,2.049699465E1,1.269999981E0,1.064000015E2,3.790092468E0,2.500000000E0
7.103579372E1,6.012136794E1,2.445321058E1,2.071834372E1,1.320000052E0,1.035999985E2,3.790092468E0,2.500000000E0
7.203569727E1,6.012136559E1,2.445323404E1,2.075310768E1,1.269999981E0,1.000999985E2,3.790092468E0,2.500000000E0
7.303553706E1,6.012136461E1,2.445325735E1,2.052480844E1,1.340000033E0,9.580000305E1,3.790092468E0,2.500000000E0
7.403493700E1,6.012136495E1,2.445328164E1,2.059301792E1,1.370000005E0,9.209999847E1,3.790092468E0,2.500000000E0
7.503480351E1,6.012136554E1,2.445330615E1,2.051510927E1,1.350000024E0,8.930000305E1,9.935046196E0,2.500000000E0
