"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.374179900E-1,-2.916898727E-1,2.534060478E-1,1.178541183E-1
5.424140320E-1,-2.113344669E-1,2.949371338E-1,-4.829068184E-1
5.474100730E-1,-2.761814594E-1,3.191013336E-1,-1.084831715E0
5.524061150E-1,-4.146354198E-1,3.271665573E-1,-1.446994305E0
5.574021570E-1,-4.796061516E-1,3.386206627E-1,-1.567291260E0
5.623981980E-1,-4.863402843E-1,3.484063148E-1,-1.390859604E0
5.673942400E-1,-4.730942249E-1,3.417730331E-1,-1.081212044E0
5.723902820E-1,-4.584391117E-1,3.039479256E-1,-6.862697601E-1
5.773863230E-1,-3.749055862E-1,2.154393196E-1,-2.485814095E-1
5.823823650E-1,-1.697657108E-1,1.137170792E-1,1.375617981E-1
5.873784070E-1,-4.065990448E-3,2.190303802E-2,4.782867432E-1
5.923744480E-1,1.184887886E-1,-3.213882446E-2,7.555580139E-1
5.973704900E-1,1.986062527E-1,-5.870914459E-2,9.513216019E-1
6.023664800E-1,2.420263290E-1,-9.626007080E-2,1.047577858E0
6.073624690E-1,2.302701473E-1,-1.306939125E-1,9.978332520E-1
6.123584590E-1,2.444939613E-1,-1.142377853E-1,9.075202942E-1
6.173544480E-1,1.365323067E-1,-7.108068466E-2,8.717279434E-1
6.223504380E-1,-1.242804527E-2,-7.256364822E-2,7.567787170E-1
6.273464280E-1,-8.835935593E-2,-7.544374466E-2,5.631170273E-1
6.323424170E-1,-1.540226936E-1,-7.934093475E-2,4.525156021E-1
6.373384070E-1,-1.291837692E-1,-6.503629684E-2,3.528032303E-1
6.423343960E-1,-3.335952759E-2,-8.458042145E-2,2.209672928E-1
6.473303860E-1,1.049597263E-1,-5.663347244E-2,6.670284271E-2
6.523263750E-1,1.858451366E-1,-2.868032455E-2,-6.726074219E-2
6.573223650E-1,2.238620520E-1,1.374292374E-2,-5.436897278E-3
6.623183550E-1,2.478665113E-1,4.201555252E-2,7.487392426E-2
6.673143440E-1,1.964824200E-1,4.649972916E-2,9.771347046E-2
6.723103340E-1,1.038955450E-1,5.123376846E-2,-3.006935120E-3
6.773063230E-1,7.035040855E-2,4.687356949E-2,-1.694173813E-1
6.823023130E-1,1.471436024E-2,3.857707977E-2,-3.632130623E-1
6.872983030E-1,-4.395294189E-2,8.383893967E-2,-5.940032005E-1
6.922942920E-1,-1.774964333E-1,9.227418900E-2,-8.000679016E-1
6.972902820E-1,-3.197480440E-1,4.534578323E-2,-9.201393127E-1
7.022862710E-1,-4.047460556E-1,3.867435455E-2,-1.012123108E0
7.072822610E-1,-2.717165947E-1,1.621255875E-1,-1.000143051E0
7.122782500E-1,-2.602699995E-1,2.102775574E-1,-9.753274918E-1
7.172742400E-1,-3.981244564E-1,2.026185989E-1,-9.757528305E-1
7.222702300E-1,-5.041983128E-1,2.011241913E-1,-9.631910324E-1
7.272662190E-1,-5.368617773E-1,2.154521942E-1,-8.761911392E-1
7.322622090E-1,-5.350449085E-1,1.929864883E-1,-7.437105179E-1
7.372581980E-1,-4.365599155E-1,1.717538834E-1,-6.037621498E-1
7.422541880E-1,-2.788592577E-1,1.704835892E-1,-4.178719521E-1
7.472501780E-1,-9.961175919E-2,1.649718285E-1,-1.812219620E-1
7.522461670E-1,1.883506775E-3,2.168331146E-1,6.812572479E-2
7.572421570E-1,1.028996706E-1,2.348132133E-1,3.971109390E-1
7.622381460E-1,2.230619192E-1,2.137184143E-1,7.628984451E-1
7.672341360E-1,2.863324881E-1,2.103228569E-1,1.103768349E0
7.722301250E-1,3.268624544E-1,2.145743370E-1,1.282234192E0
7.772261150E-1,3.693128824E-1,2.119216919E-1,1.285297394E0
7.822221050E-1,3.859472275E-1,1.785502434E-1,1.152273178E0
7.872180940E-1,3.632588387E-1,1.007618904E-1,9.361925125E-1
7.922140840E-1,2.917788029E-1,-2.565002441E-2,6.516103745E-1
7.972100730E-1,1.951724291E-1,-1.856932640E-1,3.557043076E-1
8.022060630E-1,1.161624193E-1,-3.073811531E-1,7.202625275E-2
8.072020530E-1,2.553987503E-2,-3.429203033E-1,-1.475229263E-1
8.121980420E-1,-6.298387051E-2,-2.876024246E-1,-3.132381439E-1
8.171940320E-1,-1.454830170E-1,-1.797041893E-1,-4.733648300E-1
8.221900210E-1,-2.232173681E-1,-5.687046051E-2,-5.952086449E-1
8.271860110E-1,-3.831840754E-1,7.155179977E-2,-6.507725716E-1
8.321820000E-1,-5.257880688E-1,2.153744698E-1,-6.835703850E-1
8.371779900E-1,-6.467027664E-1,2.747478485E-1,-7.129034996E-1
8.421739800E-1,-6.984275579E-1,2.691130638E-1,-6.435065269E-1
8.471699690E-1,-6.906081438E-1,2.652025223E-1,-6.137766838E-1
8.521659590E-1,-6.412909031E-1,3.199458122E-1,-5.993676186E-1
8.571619480E-1,-5.311938524E-1,3.851904869E-1,-4.619436264E-1
8.621579380E-1,-3.796322346E-1,4.414362907E-1,-2.448186874E-1
8.671539280E-1,-3.209325075E-1,4.454212189E-1,8.028125763E-2
8.721499170E-1,-2.833786011E-1,4.640278816E-1,2.557001114E-1
8.771459070E-1,-2.613869905E-1,5.158467293E-1,3.825788498E-1
8.821418960E-1,-2.025046945E-1,5.434741974E-1,4.374494553E-1
8.871378860E-1,-1.399303675E-1,5.516257286E-1,5.018033981E-1
8.921338750E-1,-8.309650421E-2,4.924621582E-1,5.091161728E-1
8.971298650E-1,2.207891345E-1,1.895952225E-1,8.028697968E-1
9.021258550E-1,3.995490670E-1,-2.182674408E-1,5.057334900E-1
9.071218440E-1,3.457436562E-1,-5.830993652E-1,2.259082794E-1
9.121178340E-1,3.136383891E-1,-7.769525051E-1,1.349096298E-1
9.171138230E-1,3.648015857E-1,-8.201544285E-1,1.556043625E-1
9.221098130E-1,3.781936169E-1,-7.944295406E-1,3.633937836E-1
9.271058030E-1,3.000940084E-1,-6.333308220E-1,5.570449829E-1
9.321017920E-1,2.257475555E-1,-3.897254467E-1,6.269483566E-1
9.370977820E-1,1.407741904E-1,-1.541352272E-1,5.974006653E-1
9.420937710E-1,3.161543608E-2,4.995059967E-2,4.974374771E-1
9.470897610E-1,-1.056417823E-1,2.134065628E-1,3.940553665E-1
9.520857500E-1,-2.897166610E-1,3.462529182E-1,3.157291412E-1
9.570817400E-1,-5.498777032E-1,4.059090614E-1,2.288656235E-1
9.620777300E-1,-8.393576145E-1,4.359836578E-1,8.087730408E-2
9.670737190E-1,-1.101477623E0,5.084962845E-1,-1.043176651E-1
9.720697610E-1,-1.231822610E0,5.809760094E-1,-2.601261139E-1
9.770658030E-1,-1.231192589E0,6.204743385E-1,-5.154933929E-1
9.820618440E-1,-1.161977053E0,6.038355827E-1,-7.986516953E-1
9.870578860E-1,-1.028858900E0,5.031056404E-1,-1.038130283E0
9.920539280E-1,-7.980550528E-1,2.951436043E-1,-1.229463577E0
9.970499690E-1,-4.692053795E-1,5.692577362E-2,-1.339608192E0
1.002046011E0,-1.274743378E-1,-1.206269264E-1,-1.416703224E0
1.007042053E0,1.849496216E-1,-2.947523594E-1,-1.432433128E0
1.012038094E0,3.971466720E-1,-3.889133930E-1,-1.339612007E0
1.017034136E0,5.769938827E-1,-3.985650539E-1,-1.219864845E0
1.022030178E0,7.201161981E-1,-3.624417782E-1,-1.020822048E0
1.027026219E0,8.268252015E-1,-3.095576763E-1,-7.570772171E-1
